features.10.bn2.bias	torch.Size([128])
features.10.bn2.running_mean	torch.Size([128])
features.10.bn2.running_var	torch.Size([128])
features.10.bn2.num_batches_tracked	torch.Size([])
features.10.conv3.weight	torch.Size([512, 128, 1, 1])
features.10.bn3.weight	torch.Size([512])
features.10.bn3.bias	torch.Size([512])
features.10.bn3.running_mean	torch.Size([512])
features.10.bn3.running_var	torch.Size([512])
features.10.bn3.num_batches_tracked	torch.Size([])
features.11.conv1.weight	torch.Size([256, 512, 1, 1])
features.11.bn1.weight	torch.Size([256])
features.11.bn1.bias	torch.Size([256])
features.11.bn1.running_mean	torch.Size([256])
features.11.bn1.running_var	torch.Size([256])
features.11.bn1.num_batches_tracked	torch.Size([])
features.11.conv2.weight	torch.Size([256, 256, 3, 3])
features.11.bn2.weight	torch.Size([256])
features.11.bn2.bias	torch.Size([256])
features.11.bn2.running_mean	torch.Size([256])
features.11.bn2.running_var	torch.Size([256])
features.11.bn2.num_batches_tracked	torch.Size([])
features.11.conv3.weight	torch.Size([1024, 256, 1, 1])
features.11.bn3.weight	torch.Size([1024])
features.11.bn3.bias	torch.Size([1024])
features.11.bn3.running_mean	torch.Size([1024])
features.11.bn3.running_var	torch.Size([1024])
features.11.bn3.num_batches_tracked	torch.Size([])
features.11.downsample.0.weight	torch.Size([1024, 512, 1, 1])
features.11.downsample.1.weight	torch.Size([1024])
features.11.downsample.1.bias	torch.Size([1024])
features.11.downsample.1.running_mean	torch.Size([1024])
features.11.downsample.1.running_var	torch.Size([1024])
features.11.downsample.1.num_batches_tracked	torch.Size([])
features.12.conv1.weight	torch.Size([256, 1024, 1, 1])
features.12.bn1.weight	torch.Size([256])
features.12.bn1.bias	torch.Size([256])
features.12.bn1.running_mean	torch.Size([256])
features.12.bn1.running_var	torch.Size([256])
features.12.bn1.num_batches_tracked	torch.Size([])
features.12.conv2.weight	torch.Size([256, 256, 3, 3])
features.12.bn2.weight	torch.Size([256])
features.12.bn2.bias	torch.Size([256])
features.12.bn2.running_mean	torch.Size([256])
features.12.bn2.running_var	torch.Size([256])
features.12.bn2.num_batches_tracked	torch.Size([])
features.12.conv3.weight	torch.Size([1024, 256, 1, 1])
features.12.bn3.weight	torch.Size([1024])
features.12.bn3.bias	torch.Size([1024])
features.12.bn3.running_mean	torch.Size([1024])
features.12.bn3.running_var	torch.Size([1024])
features.12.bn3.num_batches_tracked	torch.Size([])
features.13.conv1.weight	torch.Size([256, 1024, 1, 1])
features.13.bn1.weight	torch.Size([256])
features.13.bn1.bias	torch.Size([256])
features.13.bn1.running_mean	torch.Size([256])
features.13.bn1.running_var	torch.Size([256])
features.13.bn1.num_batches_tracked	torch.Size([])
features.13.conv2.weight	torch.Size([256, 256, 3, 3])
features.13.bn2.weight	torch.Size([256])
features.13.bn2.bias	torch.Size([256])
features.13.bn2.running_mean	torch.Size([256])
features.13.bn2.running_var	torch.Size([256])
features.13.bn2.num_batches_tracked	torch.Size([])
features.13.conv3.weight	torch.Size([1024, 256, 1, 1])
features.13.bn3.weight	torch.Size([1024])
features.13.bn3.bias	torch.Size([1024])
features.13.bn3.running_mean	torch.Size([1024])
features.13.bn3.running_var	torch.Size([1024])
features.13.bn3.num_batches_tracked	torch.Size([])
features.14.conv1.weight	torch.Size([256, 1024, 1, 1])
features.14.bn1.weight	torch.Size([256])
features.14.bn1.bias	torch.Size([256])
features.14.bn1.running_mean	torch.Size([256])
features.14.bn1.running_var	torch.Size([256])
features.14.bn1.num_batches_tracked	torch.Size([])
features.14.conv2.weight	torch.Size([256, 256, 3, 3])
features.14.bn2.weight	torch.Size([256])
features.14.bn2.bias	torch.Size([256])
features.14.bn2.running_mean	torch.Size([256])
features.14.bn2.running_var	torch.Size([256])
features.14.bn2.num_batches_tracked	torch.Size([])
features.14.conv3.weight	torch.Size([1024, 256, 1, 1])
features.14.bn3.weight	torch.Size([1024])
features.14.bn3.bias	torch.Size([1024])
features.14.bn3.running_mean	torch.Size([1024])
features.14.bn3.running_var	torch.Size([1024])
features.14.bn3.num_batches_tracked	torch.Size([])
features.15.conv1.weight	torch.Size([256, 1024, 1, 1])
features.15.bn1.weight	torch.Size([256])
features.15.bn1.bias	torch.Size([256])
features.15.bn1.running_mean	torch.Size([256])
features.15.bn1.running_var	torch.Size([256])
features.15.bn1.num_batches_tracked	torch.Size([])
features.15.conv2.weight	torch.Size([256, 256, 3, 3])
features.15.bn2.weight	torch.Size([256])
features.15.bn2.bias	torch.Size([256])
features.15.bn2.running_mean	torch.Size([256])
features.15.bn2.running_var	torch.Size([256])
features.15.bn2.num_batches_tracked	torch.Size([])
features.15.conv3.weight	torch.Size([1024, 256, 1, 1])
features.15.bn3.weight	torch.Size([1024])
features.15.bn3.bias	torch.Size([1024])
features.15.bn3.running_mean	torch.Size([1024])
features.15.bn3.running_var	torch.Size([1024])
features.15.bn3.num_batches_tracked	torch.Size([])
features.16.conv1.weight	torch.Size([256, 1024, 1, 1])
features.16.bn1.weight	torch.Size([256])
features.16.bn1.bias	torch.Size([256])
features.16.bn1.running_mean	torch.Size([256])
features.16.bn1.running_var	torch.Size([256])
features.16.bn1.num_batches_tracked	torch.Size([])
features.16.conv2.weight	torch.Size([256, 256, 3, 3])
features.16.bn2.weight	torch.Size([256])
features.16.bn2.bias	torch.Size([256])
features.16.bn2.running_mean	torch.Size([256])
features.16.bn2.running_var	torch.Size([256])
features.16.bn2.num_batches_tracked	torch.Size([])
features.16.conv3.weight	torch.Size([1024, 256, 1, 1])
features.16.bn3.weight	torch.Size([1024])
features.16.bn3.bias	torch.Size([1024])
features.16.bn3.running_mean	torch.Size([1024])
features.16.bn3.running_var	torch.Size([1024])
features.16.bn3.num_batches_tracked	torch.Size([])
features.17.conv1.weight	torch.Size([512, 1024, 1, 1])
features.17.bn1.weight	torch.Size([512])
features.17.bn1.bias	torch.Size([512])
features.17.bn1.running_mean	torch.Size([512])
features.17.bn1.running_var	torch.Size([512])
features.17.bn1.num_batches_tracked	torch.Size([])
features.17.conv2.weight	torch.Size([512, 512, 3, 3])
features.17.bn2.weight	torch.Size([512])
features.17.bn2.bias	torch.Size([512])
features.17.bn2.running_mean	torch.Size([512])
features.17.bn2.running_var	torch.Size([512])
features.17.bn2.num_batches_tracked	torch.Size([])
features.17.conv3.weight	torch.Size([2048, 512, 1, 1])
features.17.bn3.weight	torch.Size([2048])
features.17.bn3.bias	torch.Size([2048])
features.17.bn3.running_mean	torch.Size([2048])
features.17.bn3.running_var	torch.Size([2048])
features.17.bn3.num_batches_tracked	torch.Size([])
features.17.downsample.0.weight	torch.Size([2048, 1024, 1, 1])
features.17.downsample.1.weight	torch.Size([2048])
features.17.downsample.1.bias	torch.Size([2048])
features.17.downsample.1.running_mean	torch.Size([2048])
features.17.downsample.1.running_var	torch.Size([2048])
features.17.downsample.1.num_batches_tracked	torch.Size([])
features.18.conv1.weight	torch.Size([512, 2048, 1, 1])
features.18.bn1.weight	torch.Size([512])
features.18.bn1.bias	torch.Size([512])
features.18.bn1.running_mean	torch.Size([512])
features.18.bn1.running_var	torch.Size([512])
features.18.bn1.num_batches_tracked	torch.Size([])
